Data Escala de Tempo 1 CDH Simp 4;Selecione Tipo de CDH Simp 4
01/08/2021 00:00;58382,838
01/08/2021 01:00;55519,547
01/08/2021 02:00;53822,593
01/08/2021 03:00;52338,94
01/08/2021 04:00;51819,873
01/08/2021 05:00;51555,035
01/08/2021 06:00;50343,461
01/08/2021 07:00;49421,419
01/08/2021 08:00;50580,103
01/08/2021 09:00;51793,228
01/08/2021 10:00;53100,884
01/08/2021 11:00;54276,565
01/08/2021 12:00;54280,592
01/08/2021 13:00;53716,563
01/08/2021 14:00;53956,88
01/08/2021 15:00;55366,85
01/08/2021 16:00;58246,103
01/08/2021 17:00;63326,795
01/08/2021 18:00;71226,513
01/08/2021 19:00;70218,106
01/08/2021 20:00;68376,776
01/08/2021 21:00;66159,153
01/08/2021 22:00;63463,092
01/08/2021 23:00;60008,366
02/08/2021 00:00;56879,372
02/08/2021 01:00;54700,154
02/08/2021 02:00;53402,515
02/08/2021 03:00;52686,252
02/08/2021 04:00;52947,71
02/08/2021 05:00;54766,674
02/08/2021 06:00;57793,575
02/08/2021 07:00;61503,945
02/08/2021 08:00;64942,212
02/08/2021 09:00;66244,6
02/08/2021 10:00;67257,399
02/08/2021 11:00;67171,694
02/08/2021 12:00;65615,247
02/08/2021 13:00;67250,892
02/08/2021 14:00;68900,562
02/08/2021 15:00;70413,653
02/08/2021 16:00;72060,233
02/08/2021 17:00;73001,922
02/08/2021 18:00;78088,553
02/08/2021 19:00;77813,879
02/08/2021 20:00;75870,906
02/08/2021 21:00;73803,926
02/08/2021 22:00;70261,511
02/08/2021 23:00;65429,774
03/08/2021 00:00;61221,253
03/08/2021 01:00;58425,859
03/08/2021 02:00;56615,004
03/08/2021 03:00;55683,482
03/08/2021 04:00;55864,32
03/08/2021 05:00;57660,37
03/08/2021 06:00;60480,382
03/08/2021 07:00;64046,516
03/08/2021 08:00;67055,337
03/08/2021 09:00;67947,433
03/08/2021 10:00;68974,834
03/08/2021 11:00;68560,195
03/08/2021 12:00;66739,91
03/08/2021 13:00;68574,088
03/08/2021 14:00;70292,676
03/08/2021 15:00;71797,977
03/08/2021 16:00;73564,635
03/08/2021 17:00;74510,298
03/08/2021 18:00;79134,129
03/08/2021 19:00;78774,237
03/08/2021 20:00;76483,156
03/08/2021 21:00;74739,975
03/08/2021 22:00;71440,242
03/08/2021 23:00;66411,56
04/08/2021 00:00;62226,321
04/08/2021 01:00;59354,599
04/08/2021 02:00;57494,157
04/08/2021 03:00;56668,114
04/08/2021 04:00;56830,611
04/08/2021 05:00;58484,56
04/08/2021 06:00;60966,621
04/08/2021 07:00;64308,463
04/08/2021 08:00;67459,376
04/08/2021 09:00;68615,222
04/08/2021 10:00;69576,458
04/08/2021 11:00;69132,801
04/08/2021 12:00;67492,414
04/08/2021 13:00;69174,74
04/08/2021 14:00;71021,763
04/08/2021 15:00;72309,382
04/08/2021 16:00;73927,6
04/08/2021 17:00;74904,622
04/08/2021 18:00;79524,538
04/08/2021 19:00;78601,012
04/08/2021 20:00;76509,983
04/08/2021 21:00;74992,473
04/08/2021 22:00;71530,408
04/08/2021 23:00;66669,054
05/08/2021 00:00;62164,808
05/08/2021 01:00;59305,717
05/08/2021 02:00;57616,62
05/08/2021 03:00;56582,308
05/08/2021 04:00;56694,352
05/08/2021 05:00;58173,933
05/08/2021 06:00;60883,324
05/08/2021 07:00;64282,285
05/08/2021 08:00;67559,194
05/08/2021 09:00;68721,96
05/08/2021 10:00;69469,435
05/08/2021 11:00;69152,831
05/08/2021 12:00;67459,917
05/08/2021 13:00;69119,144
05/08/2021 14:00;71258,362
05/08/2021 15:00;72635,619
05/08/2021 16:00;73884,767
05/08/2021 17:00;74386,957
05/08/2021 18:00;79077,181
05/08/2021 19:00;78487,294
05/08/2021 20:00;76312,518
05/08/2021 21:00;74935,892
05/08/2021 22:00;71533,2
05/08/2021 23:00;66961,128
06/08/2021 00:00;62635,67
06/08/2021 01:00;59323,171
06/08/2021 02:00;57641,68
06/08/2021 03:00;56777,75
06/08/2021 04:00;56885,044
06/08/2021 05:00;58504,597
06/08/2021 06:00;61073,041
06/08/2021 07:00;64391,569
06/08/2021 08:00;67927,533
06/08/2021 09:00;69153,873
06/08/2021 10:00;69983,391
06/08/2021 11:00;69637,724
06/08/2021 12:00;68019,852
06/08/2021 13:00;69871,253
06/08/2021 14:00;71760,102
06/08/2021 15:00;72859,326
06/08/2021 16:00;73355,768
06/08/2021 17:00;74069,172
06/08/2021 18:00;78323,514
06/08/2021 19:00;77830,462
06/08/2021 20:00;75454,054
06/08/2021 21:00;74269,169
06/08/2021 22:00;71386,995
06/08/2021 23:00;67692,848
07/08/2021 00:00;63518,119
07/08/2021 01:00;60406,234
07/08/2021 02:00;58258,273
07/08/2021 03:00;57263,259
07/08/2021 04:00;56670,49
07/08/2021 05:00;56709,706
07/08/2021 06:00;56744,974
07/08/2021 07:00;58052,647
07/08/2021 08:00;60716,052
07/08/2021 09:00;61902,143
07/08/2021 10:00;62294,357
07/08/2021 11:00;62239,113
07/08/2021 12:00;61534,397
07/08/2021 13:00;61606,852
07/08/2021 14:00;62265,849
07/08/2021 15:00;63185,45
07/08/2021 16:00;65000,111
07/08/2021 17:00;68862,244
07/08/2021 18:00;76266,808
07/08/2021 19:00;75240,1
07/08/2021 20:00;72106,366
07/08/2021 21:00;69135,466
07/08/2021 22:00;65696,618
07/08/2021 23:00;62840,091
08/08/2021 00:00;59072,539
08/08/2021 01:00;56271,272
08/08/2021 02:00;54488,064
08/08/2021 03:00;53136,519
08/08/2021 04:00;52219,363
08/08/2021 05:00;51860,584
08/08/2021 06:00;50413,794
08/08/2021 07:00;49780,12
08/08/2021 08:00;51286,894
08/08/2021 09:00;52850,645
08/08/2021 10:00;54154,863
08/08/2021 11:00;54503,127
08/08/2021 12:00;53557,889
08/08/2021 13:00;52546,442
08/08/2021 14:00;52506,885
08/08/2021 15:00;54156,299
08/08/2021 16:00;56953,272
08/08/2021 17:00;61546,896
08/08/2021 18:00;69942,138
08/08/2021 19:00;70242,753
08/08/2021 20:00;68671,158
08/08/2021 21:00;67027,998
08/08/2021 22:00;64520,069
08/08/2021 23:00;61091,641
09/08/2021 00:00;57941,914
09/08/2021 01:00;55629,807
09/08/2021 02:00;54289,708
09/08/2021 03:00;53725,334
09/08/2021 04:00;54172,6
09/08/2021 05:00;56069,601
09/08/2021 06:00;58788,164
09/08/2021 07:00;62211,067
09/08/2021 08:00;66118,315
09/08/2021 09:00;67557,458
09/08/2021 10:00;68735,576
09/08/2021 11:00;69010,663
09/08/2021 12:00;67938,231
09/08/2021 13:00;70110,103
09/08/2021 14:00;72313,297
09/08/2021 15:00;73516,527
09/08/2021 16:00;74420,396
09/08/2021 17:00;74332,468
09/08/2021 18:00;78541,599
09/08/2021 19:00;78401,203
09/08/2021 20:00;76974,545
09/08/2021 21:00;75663,223
09/08/2021 22:00;72484,793
09/08/2021 23:00;67632,41
10/08/2021 00:00;63232,243
10/08/2021 01:00;60285,113
10/08/2021 02:00;58468,009
10/08/2021 03:00;57778,173
10/08/2021 04:00;57995,515
10/08/2021 05:00;59530,502
10/08/2021 06:00;61806,681
10/08/2021 07:00;65317,973
10/08/2021 08:00;68504,929
10/08/2021 09:00;69836,848
10/08/2021 10:00;71196,864
10/08/2021 11:00;71293,226
10/08/2021 12:00;70111,457
10/08/2021 13:00;72294,627
10/08/2021 14:00;74476,477
10/08/2021 15:00;75712,128
10/08/2021 16:00;76535,856
10/08/2021 17:00;75850,598
10/08/2021 18:00;80070,608
10/08/2021 19:00;79301,801
10/08/2021 20:00;77362,02
10/08/2021 21:00;76337,707
10/08/2021 22:00;73135,038
10/08/2021 23:00;68548,727
11/08/2021 00:00;64102,793
11/08/2021 01:00;60901,875
11/08/2021 02:00;59143,059
11/08/2021 03:00;58246,85
11/08/2021 04:00;58271,161
11/08/2021 05:00;59600,027
11/08/2021 06:00;62073,58
11/08/2021 07:00;65590,356
11/08/2021 08:00;68611,059
11/08/2021 09:00;69840,375
11/08/2021 10:00;70986,679
11/08/2021 11:00;70764,019
11/08/2021 12:00;68922,791
11/08/2021 13:00;70730,476
11/08/2021 14:00;72961,291
11/08/2021 15:00;74258,596
11/08/2021 16:00;75634,421
11/08/2021 17:00;75933,986
11/08/2021 18:00;80132,189
11/08/2021 19:00;79220,612
11/08/2021 20:00;77212,831
11/08/2021 21:00;76097,792
11/08/2021 22:00;73031
11/08/2021 23:00;68170,034
12/08/2021 00:00;63901,591
12/08/2021 01:00;60874,978
12/08/2021 02:00;59116,4
12/08/2021 03:00;58370,129
12/08/2021 04:00;58473,511
12/08/2021 05:00;59644,335
12/08/2021 06:00;62228,426
12/08/2021 07:00;65730,423
12/08/2021 08:00;68755,211
12/08/2021 09:00;69781,452
12/08/2021 10:00;70540,303
12/08/2021 11:00;70444,68
12/08/2021 12:00;68848,025
12/08/2021 13:00;71116,917
12/08/2021 14:00;73342,137
12/08/2021 15:00;74597,577
12/08/2021 16:00;75762,76
12/08/2021 17:00;76193,9
12/08/2021 18:00;80177,408
12/08/2021 19:00;79284,946
12/08/2021 20:00;77248,893
12/08/2021 21:00;75958,05
12/08/2021 22:00;72910,193
12/08/2021 23:00;68008,805
13/08/2021 00:00;63545,108
13/08/2021 01:00;60577,231
13/08/2021 02:00;58606,019
13/08/2021 03:00;57711,759
13/08/2021 04:00;57911,229
13/08/2021 05:00;59367,15
13/08/2021 06:00;62046,837
13/08/2021 07:00;65574,142
13/08/2021 08:00;68988,638
13/08/2021 09:00;70199,8
13/08/2021 10:00;71117,485
13/08/2021 11:00;70732,065
13/08/2021 12:00;68948,821
13/08/2021 13:00;70916,569
13/08/2021 14:00;72992,113
13/08/2021 15:00;74029,439
13/08/2021 16:00;74620,257
13/08/2021 17:00;74828,489
13/08/2021 18:00;79007,915
13/08/2021 19:00;78083,038
13/08/2021 20:00;75728,338
13/08/2021 21:00;74331,558
13/08/2021 22:00;71775,531
13/08/2021 23:00;67593,244
14/08/2021 00:00;63583,853
14/08/2021 01:00;60347,778
14/08/2021 02:00;58176,416
14/08/2021 03:00;57109,368
14/08/2021 04:00;56826,293
14/08/2021 05:00;56946,888
14/08/2021 06:00;57015,309
14/08/2021 07:00;58184,537
14/08/2021 08:00;60577,195
14/08/2021 09:00;61884,842
14/08/2021 10:00;62664,817
14/08/2021 11:00;62778,271
14/08/2021 12:00;62351,768
14/08/2021 13:00;62448,595
14/08/2021 14:00;63099,597
14/08/2021 15:00;64087,978
14/08/2021 16:00;65828,044
14/08/2021 17:00;69597,762
14/08/2021 18:00;76776,175
14/08/2021 19:00;75919,533
14/08/2021 20:00;72696,487
14/08/2021 21:00;69881,1
14/08/2021 22:00;66559,386
14/08/2021 23:00;63191,615
15/08/2021 00:00;59629,392
15/08/2021 01:00;56787,145
15/08/2021 02:00;55009,004
15/08/2021 03:00;53746,474
15/08/2021 04:00;53042,65
15/08/2021 05:00;52673,799
15/08/2021 06:00;51194,048
15/08/2021 07:00;50613,476
15/08/2021 08:00;51931,224
15/08/2021 09:00;53087,45
15/08/2021 10:00;54200,591
15/08/2021 11:00;55582,186
15/08/2021 12:00;55597,456
15/08/2021 13:00;55386,173
15/08/2021 14:00;55908,694
15/08/2021 15:00;57324,956
15/08/2021 16:00;59577,152
15/08/2021 17:00;64235,867
15/08/2021 18:00;72234,487
15/08/2021 19:00;72074,33
15/08/2021 20:00;70447,197
15/08/2021 21:00;68589,804
15/08/2021 22:00;65957,119
15/08/2021 23:00;62482,18
16/08/2021 00:00;59164,336
16/08/2021 01:00;56801,135
16/08/2021 02:00;55672,688
16/08/2021 03:00;55005,373
16/08/2021 04:00;55187,255
16/08/2021 05:00;57015,513
16/08/2021 06:00;59858,732
16/08/2021 07:00;63556,493
16/08/2021 08:00;67352,547
16/08/2021 09:00;69100,364
16/08/2021 10:00;70388,114
16/08/2021 11:00;70618,62
16/08/2021 12:00;69331,881
16/08/2021 13:00;71417,122
16/08/2021 14:00;73458,687
16/08/2021 15:00;74850,018
16/08/2021 16:00;76121,665
16/08/2021 17:00;75643,869
16/08/2021 18:00;79466,656
16/08/2021 19:00;79323,53
16/08/2021 20:00;77558,442
16/08/2021 21:00;76354,727
16/08/2021 22:00;73204,554
16/08/2021 23:00;68522,564
17/08/2021 00:00;64187,147
17/08/2021 01:00;61325,909
17/08/2021 02:00;59546,701
17/08/2021 03:00;58637,957
17/08/2021 04:00;58679,585
17/08/2021 05:00;60169,163
17/08/2021 06:00;62344,637
17/08/2021 07:00;65555,207
17/08/2021 08:00;68601,638
17/08/2021 09:00;69778,194
17/08/2021 10:00;70886,641
17/08/2021 11:00;70911,822
17/08/2021 12:00;69514,263
17/08/2021 13:00;72038,155
17/08/2021 14:00;74775,843
17/08/2021 15:00;76606,495
17/08/2021 16:00;77634,097
17/08/2021 17:00;76949,699
17/08/2021 18:00;81021,654
17/08/2021 19:00;80586,242
17/08/2021 20:00;78895,619
17/08/2021 21:00;77832,499
17/08/2021 22:00;74772,332
17/08/2021 23:00;70142,052
18/08/2021 00:00;65880,807
18/08/2021 01:00;62699,733
18/08/2021 02:00;60778,744
18/08/2021 03:00;59836,195
18/08/2021 04:00;59957,227
18/08/2021 05:00;61415,688
18/08/2021 06:00;63589,879
18/08/2021 07:00;66688,08
18/08/2021 08:00;70111,436
18/08/2021 09:00;71737,169
18/08/2021 10:00;73176,443
18/08/2021 11:00;73025,198
18/08/2021 12:00;71362,049
18/08/2021 13:00;73699,764
18/08/2021 14:00;76455,385
18/08/2021 15:00;77981,429
18/08/2021 16:00;79002,663
18/08/2021 17:00;77892,039
18/08/2021 18:00;81822,437
18/08/2021 19:00;81166,112
18/08/2021 20:00;79216,489
18/08/2021 21:00;78264,672
18/08/2021 22:00;75366,893
18/08/2021 23:00;70911,271
19/08/2021 00:00;66481,521
19/08/2021 01:00;63526,329
19/08/2021 02:00;61493,157
19/08/2021 03:00;60459
19/08/2021 04:00;60341,907
19/08/2021 05:00;61629,401
19/08/2021 06:00;63696,875
19/08/2021 07:00;67011,033
19/08/2021 08:00;70149,313
19/08/2021 09:00;71527,935
19/08/2021 10:00;72640,29
19/08/2021 11:00;72716,515
19/08/2021 12:00;71482,679
19/08/2021 13:00;74114,508
19/08/2021 14:00;76898,537
19/08/2021 15:00;78591,4
19/08/2021 16:00;79516,316
19/08/2021 17:00;78063,793
19/08/2021 18:00;81836,06
19/08/2021 19:00;81419,721
19/08/2021 20:00;79402,467
19/08/2021 21:00;78544,316
19/08/2021 22:00;75781,291
19/08/2021 23:00;71484,033
20/08/2021 00:00;66974,701
20/08/2021 01:00;63676,341
20/08/2021 02:00;61811,332
20/08/2021 03:00;60848,523
20/08/2021 04:00;60826,859
20/08/2021 05:00;62146,344
20/08/2021 06:00;63984,636
20/08/2021 07:00;67328,953
20/08/2021 08:00;70786,273
20/08/2021 09:00;72199,791
20/08/2021 10:00;73316,17
20/08/2021 11:00;73282,612
20/08/2021 12:00;71782,163
20/08/2021 13:00;74196,06
20/08/2021 14:00;77021,427
20/08/2021 15:00;78507,381
20/08/2021 16:00;78711,119
20/08/2021 17:00;77504,974
20/08/2021 18:00;81231,082
20/08/2021 19:00;80464,572
20/08/2021 20:00;78167,677
20/08/2021 21:00;77477,079
20/08/2021 22:00;75312,357
20/08/2021 23:00;71668,417
21/08/2021 00:00;67517,027
21/08/2021 01:00;64242,521
21/08/2021 02:00;62007,161
21/08/2021 03:00;60687,582
21/08/2021 04:00;60202,393
21/08/2021 05:00;60154,401
21/08/2021 06:00;59610,063
21/08/2021 07:00;60523,706
21/08/2021 08:00;62742,117
21/08/2021 09:00;64164,593
21/08/2021 10:00;64876,923
21/08/2021 11:00;65036,184
21/08/2021 12:00;64641,911
21/08/2021 13:00;64904,756
21/08/2021 14:00;65504,817
21/08/2021 15:00;66657,645
21/08/2021 16:00;68071,967
21/08/2021 17:00;70946,019
21/08/2021 18:00;78258,807
21/08/2021 19:00;77855,637
21/08/2021 20:00;74933,883
21/08/2021 21:00;72244,427
21/08/2021 22:00;69291,566
21/08/2021 23:00;66036,554
22/08/2021 00:00;62821,22
22/08/2021 01:00;59932,981
22/08/2021 02:00;57935,827
22/08/2021 03:00;56479,047
22/08/2021 04:00;55739,73
22/08/2021 05:00;55473,897
22/08/2021 06:00;53634,128
22/08/2021 07:00;52995,3
22/08/2021 08:00;54020,399
22/08/2021 09:00;54960,741
22/08/2021 10:00;56032,742
22/08/2021 11:00;57154,08
22/08/2021 12:00;57087,83
22/08/2021 13:00;57029,122
22/08/2021 14:00;57512,413
22/08/2021 15:00;58739,876
22/08/2021 16:00;61662,315
22/08/2021 17:00;66015,464
22/08/2021 18:00;73873,89
22/08/2021 19:00;74440,613
22/08/2021 20:00;72927,809
22/08/2021 21:00;71445,586
22/08/2021 22:00;69197,83
22/08/2021 23:00;65838,27
23/08/2021 00:00;62686,171
23/08/2021 01:00;60287,844
23/08/2021 02:00;58772,213
23/08/2021 03:00;57967,22
23/08/2021 04:00;58104,504
23/08/2021 05:00;59596,945
23/08/2021 06:00;61753,308
23/08/2021 07:00;65323,528
23/08/2021 08:00;69636,473
23/08/2021 09:00;71664,866
23/08/2021 10:00;72961,972
23/08/2021 11:00;73268,46
23/08/2021 12:00;72036,661
23/08/2021 13:00;74578,17
23/08/2021 14:00;77419,416
23/08/2021 15:00;79029,833
23/08/2021 16:00;79712,48
23/08/2021 17:00;78298,425
23/08/2021 18:00;81699,032
23/08/2021 19:00;81526,184
23/08/2021 20:00;80013,433
23/08/2021 21:00;79360,039
23/08/2021 22:00;76785,724
23/08/2021 23:00;72099,665
24/08/2021 00:00;67742,588
24/08/2021 01:00;64873,663
24/08/2021 02:00;63075,733
24/08/2021 03:00;62164,177
24/08/2021 04:00;62145,674
24/08/2021 05:00;63385,011
24/08/2021 06:00;65008,314
24/08/2021 07:00;68284,884
24/08/2021 08:00;71968,616
24/08/2021 09:00;73562,757
24/08/2021 10:00;75001,569
24/08/2021 11:00;75284,177
24/08/2021 12:00;74249,724
24/08/2021 13:00;77036,843
24/08/2021 14:00;79795,346
24/08/2021 15:00;81144,784
24/08/2021 16:00;81367,785
24/08/2021 17:00;79687,144
24/08/2021 18:00;82804,132
24/08/2021 19:00;82069,058
24/08/2021 20:00;80689,961
24/08/2021 21:00;80272,91
24/08/2021 22:00;77615,034
24/08/2021 23:00;73049,72
25/08/2021 00:00;68724,17
25/08/2021 01:00;65267,337
25/08/2021 02:00;63081,965
25/08/2021 03:00;62050,324
25/08/2021 04:00;62201,036
25/08/2021 05:00;63622,555
25/08/2021 06:00;65417,008
25/08/2021 07:00;68509,848
25/08/2021 08:00;72245,213
25/08/2021 09:00;73901,896
25/08/2021 10:00;75184,384
25/08/2021 11:00;75509,388
25/08/2021 12:00;74193,66
25/08/2021 13:00;77199,129
25/08/2021 14:00;80051,054
25/08/2021 15:00;81282,237
25/08/2021 16:00;81918,902
25/08/2021 17:00;80431,656
25/08/2021 18:00;83333,536
25/08/2021 19:00;82537,233
25/08/2021 20:00;81116,965
25/08/2021 21:00;80596,17
25/08/2021 22:00;78128,608
25/08/2021 23:00;73650,954
26/08/2021 00:00;69321,203
26/08/2021 01:00;66293,65
26/08/2021 02:00;64198,285
26/08/2021 03:00;63222,14
26/08/2021 04:00;63209,489
26/08/2021 05:00;64310,578
26/08/2021 06:00;65910,526
26/08/2021 07:00;69131,736
26/08/2021 08:00;72665,819
26/08/2021 09:00;74318,243
26/08/2021 10:00;75549,686
26/08/2021 11:00;75581,963
26/08/2021 12:00;74412,622
26/08/2021 13:00;77157,108
26/08/2021 14:00;79985,964
26/08/2021 15:00;81095,118
26/08/2021 16:00;81317,057
26/08/2021 17:00;79404,121
26/08/2021 18:00;82770,518
26/08/2021 19:00;82083,027
26/08/2021 20:00;80247,829
26/08/2021 21:00;79673,613
26/08/2021 22:00;76962,668
26/08/2021 23:00;72762,645
27/08/2021 00:00;68286,958
27/08/2021 01:00;65106,263
27/08/2021 02:00;63182,897
27/08/2021 03:00;62059,13
27/08/2021 04:00;62087,857
27/08/2021 05:00;63254,716
27/08/2021 06:00;65229,078
27/08/2021 07:00;68462,079
27/08/2021 08:00;72016,865
27/08/2021 09:00;73183,075
27/08/2021 10:00;74154,279
27/08/2021 11:00;73527,234
27/08/2021 12:00;71952,444
27/08/2021 13:00;74078,727
27/08/2021 14:00;75803,022
27/08/2021 15:00;76688,441
27/08/2021 16:00;76810,745
27/08/2021 17:00;76511,515
27/08/2021 18:00;80142,726
27/08/2021 19:00;79560,807
27/08/2021 20:00;77245,803
27/08/2021 21:00;76480,393
27/08/2021 22:00;74105,078
27/08/2021 23:00;70484,303
28/08/2021 00:00;66822,019
28/08/2021 01:00;63912,487
28/08/2021 02:00;61917,415
28/08/2021 03:00;60962,398
28/08/2021 04:00;60443,994
28/08/2021 05:00;60444,722
28/08/2021 06:00;60141,288
28/08/2021 07:00;61358,197
28/08/2021 08:00;63621,429
28/08/2021 09:00;64852,088
28/08/2021 10:00;65474,648
28/08/2021 11:00;65483,832
28/08/2021 12:00;65048,899
28/08/2021 13:00;65090,541
28/08/2021 14:00;65560,339
28/08/2021 15:00;66357,411
28/08/2021 16:00;67541,175
28/08/2021 17:00;70572,186
28/08/2021 18:00;77834,543
28/08/2021 19:00;77033,505
28/08/2021 20:00;73990,193
28/08/2021 21:00;71425,721
28/08/2021 22:00;68487,134
28/08/2021 23:00;65295,385
29/08/2021 00:00;62008,512
29/08/2021 01:00;59495,929
29/08/2021 02:00;57601,63
29/08/2021 03:00;56307,787
29/08/2021 04:00;55685,472
29/08/2021 05:00;54882,45
29/08/2021 06:00;53273,087
29/08/2021 07:00;52918,026
29/08/2021 08:00;54021,004
29/08/2021 09:00;55008,322
29/08/2021 10:00;56295,187
29/08/2021 11:00;57268,356
29/08/2021 12:00;57146,076
29/08/2021 13:00;56994,386
29/08/2021 14:00;57488,232
29/08/2021 15:00;58799,788
29/08/2021 16:00;61073,496
29/08/2021 17:00;65309,614
29/08/2021 18:00;72788,425
29/08/2021 19:00;72816,984
29/08/2021 20:00;71367,481
29/08/2021 21:00;69620,496
29/08/2021 22:00;67327,238
29/08/2021 23:00;63802,516
30/08/2021 00:00;60755,951
30/08/2021 01:00;58712,052
30/08/2021 02:00;57346,29
30/08/2021 03:00;56735,117
30/08/2021 04:00;56833,754
30/08/2021 05:00;58403,552
30/08/2021 06:00;60807,711
30/08/2021 07:00;64760,833
30/08/2021 08:00;68630,528
30/08/2021 09:00;69968,4
30/08/2021 10:00;70907,714
30/08/2021 11:00;70855,602
30/08/2021 12:00;69668,302
30/08/2021 13:00;71769,644
30/08/2021 14:00;73863,636
30/08/2021 15:00;75060,018
30/08/2021 16:00;75950,007
30/08/2021 17:00;75087,401
30/08/2021 18:00;79171,546
30/08/2021 19:00;79443,076
30/08/2021 20:00;77745,775
30/08/2021 21:00;76843,499
30/08/2021 22:00;73544,822
30/08/2021 23:00;68822,111
31/08/2021 00:00;64627,886
31/08/2021 01:00;61651,091
31/08/2021 02:00;59890,124
31/08/2021 03:00;59024,654
31/08/2021 04:00;59123,631
31/08/2021 05:00;60508,748
31/08/2021 06:00;62411,981
31/08/2021 07:00;66162,77
31/08/2021 08:00;69422,078
31/08/2021 09:00;70438,741
31/08/2021 10:00;71620,622
31/08/2021 11:00;71489,259
31/08/2021 12:00;69720,296
31/08/2021 13:00;71763,615
31/08/2021 14:00;74005,991
31/08/2021 15:00;75359,544
31/08/2021 16:00;76402,346
31/08/2021 17:00;75620,481
31/08/2021 18:00;79426,767
31/08/2021 19:00;79453,401
31/08/2021 20:00;77534,498
31/08/2021 21:00;76686,031
31/08/2021 22:00;73693,361
31/08/2021 23:00;68858,768
01/09/2021 00:00;64719,847
01/09/2021 01:00;61838,908
01/09/2021 02:00;60134,906
01/09/2021 03:00;59131,919
01/09/2021 04:00;59032,868
01/09/2021 05:00;60567,556
01/09/2021 06:00;62531,951
01/09/2021 07:00;66049,202
01/09/2021 08:00;69097,887
01/09/2021 09:00;69927,677
01/09/2021 10:00;70915,556
